,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
17600,0,0,0,0,0,677,139,50,329,111,453,351,12,167,486,96,437,275,307,408,74,245,383,202,190,226,0,596,0,0,0,0,0
17700,0,0,0,0,0,687,149,60,339,121,463,361,22,177,496,106,447,285,317,418,84,255,393,212,200,236,0,606,0,0,0,0,0
17800,0,0,0,0,0,697,159,70,349,131,473,371,32,187,8,116,457,295,327,428,94,265,403,222,210,246,0,616,0,0,0,0,0
17900,0,0,0,0,0,707,169,80,359,141,483,381,42,197,18,126,467,305,337,438,104,275,413,232,220,256,0,626,0,0,0,0,0
18000,0,0,0,0,0,717,179,90,369,151,493,391,52,207,28,136,4,315,347,448,114,285,423,242,230,266,0,636,0,0,0,0,0
18100,0,0,0,0,0,727,189,100,379,161,503,401,62,217,38,146,14,325,357,458,124,295,433,252,240,276,0,646,0,0,0,0,0
18200,0,0,0,0,0,737,199,110,389,171,513,411,72,227,48,156,24,335,367,6,134,305,443,262,250,286,0,656,0,0,0,0,0
18300,0,0,0,0,0,747,209,120,399,181,523,421,82,237,58,166,34,345,377,16,144,315,453,272,260,296,0,666,0,0,0,0,0
18400,0,0,0,0,0,757,219,130,409,191,5,431,92,247,68,176,44,355,387,26,154,325,463,282,270,306,0,676,0,0,0,0,0
18500,0,0,0,0,0,767,229,140,419,201,15,441,102,257,78,186,54,365,397,36,164,335,473,292,280,316,0,686,0,0,0,0,0
18600,0,0,0,0,0,777,239,150,429,211,25,451,112,267,88,196,64,375,407,46,174,345,483,302,290,326,0,696,0,0,0,0,0
18700,0,0,0,0,0,787,249,160,439,221,35,6,122,277,98,206,74,385,417,56,184,355,493,312,300,336,0,706,0,0,0,0,0
18800,0,0,0,0,0,797,259,170,449,231,45,16,132,287,108,216,84,395,427,66,194,365,503,322,310,346,0,716,0,0,0,0,0
18900,0,0,0,0,0,807,269,180,459,241,55,26,142,297,118,226,94,405,437,76,204,375,513,332,320,356,0,726,0,0,0,0,0
19000,0,0,0,0,0,8,279,190,469,251,65,36,152,307,128,236,104,415,447,86,214,385,523,342,330,366,0,736,0,0,0,0,0
19100,0,0,0,0,0,18,289,200,479,261,75,46,162,317,138,246,114,425,457,96,224,395,533,352,340,376,0,746,0,0,0,0,0
19200,0,0,0,0,0,28,299,210,489,271,85,56,172,327,148,256,124,435,7,106,234,405,543,362,350,386,0,756,0,0,0,0,0
19300,0,0,0,0,0,38,309,220,499,281,95,66,182,337,158,266,134,445,17,116,244,415,553,372,360,396,0,766,0,0,0,0,0
19400,0,0,0,0,0,48,319,230,509,291,105,76,192,347,168,276,144,7,27,126,254,425,563,382,370,406,0,776,0,0,0,0,0
19500,0,0,0,0,0,58,329,240,519,301,115,86,202,357,178,286,154,17,37,136,264,435,573,392,380,416,0,786,0,0,0,0,0
